No,분류,2020년,2020년,2020년,2020년,2020년,2020년,2020년,2020년,2020년
No,분류,119 구급차,119 구급차,119 구급차,119 구급차,탑승인력,탑승인력,탑승인력,탑승인력,탑승인력
No,분류,계,특수,일반,인구 십만 명당 119 구급차 수,계,1급 응급구조사,2급 응급구조사,간호사,기타
No,분류,대,대,대,대,명,명,명,명,명
No,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,전체,"1,558","1,558",0,3,"12,732","5,297","3,178","2,990","1,267"
2,서울,167,167,0,1.7,"1,467",538,482,212,235
3,부산,69,69,0,2,621,105,168,261,87
4,대구,53,53,0,2.2,477,176,156,145,0
5,인천,70,70,0,2.4,563,433,91,39,0
6,광주,35,35,0,2.4,270,162,37,71,0
7,대전,34,34,0,2.3,291,165,67,54,5
8,울산,29,29,0,2.6,249,67,26,145,11
9,세종,11,11,0,3.1,99,56,8,30,5
10,경기,263,263,0,2,"1,912","1,141",168,593,10
11,강원,127,127,0,8.2,948,227,411,102,208
12,충북,70,70,0,4.4,614,318,73,72,151
13,충남,115,115,0,5.4,948,572,161,102,113
14,전북,97,97,0,5.4,813,184,454,175,0
15,전남,110,110,0,5.9,846,319,177,247,103
16,경북,139,139,0,5.3,"1,180",250,424,464,42
17,경남,137,137,0,4.1,"1,152",467,261,209,215
18,제주,32,32,0,4.7,281,117,14,69,82
"[출처] 응급의료 통계연보
 [정의]
 - 소방청에서 집계한 현황을 근거로 함
 - 특수구급차: 응급의료에 관한 법률 제46조(구급차등의 기준) 및 동법 시행규칙 제38조(구급차등의 장비 및 관리 등)에 따라 위급의 정도가 중한 응급환자의 이송에 적합하도록 제작된 구급차를 의미함
 - 일반구급차: 응급의료에 관한 법률 제46조(구급차등의 기준) 및 동법 시행규칙 제38조(구급차등의 장비 및 관리 등)에 따라 위급의 정도가 중하지 아니한 응급환자의 이송에 주로 사용되는 구급차를 의미함
 - 인구 십만 명당 119 구급차 수: 전체인구 수는 해당 연도의 통계청 시ㆍ군ㆍ구별 주민등록인구 수를 기준으로 함
 - 기타: 구급관련 교육 이수자(자격증 미보유) 등
 - 창원소방의 구급차는 경남에 합산함
 [단위] 대, 명",,,,,,,,,,
